,sin
0,0.0
1,0.06002395835563764
2,0.11983146271757329
3,0.17920683965261233
4,0.23793597403377498
5,0.2958070811665539
6,0.35261147051133784
7,0.4081442982479204
8,0.46220530596825166
9,0.5145995428336135
10,0.5651380685920271
11,0.6136386349207242
12,0.6599263426366746
13,0.7038342724051841
14,0.7452040866721503
15,0.78388660064933
16,0.8197423202935751
17,0.8526419453400135
18,0.8824668355751754
19,0.9091094386686253
20,0.9324736780202824
21,0.9524752992248057
22,0.9690421739036469
23,0.9821145598091165
24,0.9916453162624927
25,0.9976000741492778
26,0.9999573598585764
27,0.9987086727196554
28,0.993858515656439
29,0.985424378949395
30,0.9734366771633683
31,0.9579386394688101
32,0.9389861537519146
33,0.9166475650758267
34,0.8910034292196894
35,0.8621462221843063
36,0.8301800067119719
37,0.7952200570230491
38,0.7573924431225341
39,0.7168335761756565
40,0.6736897165919457
41,0.628116446591676
42,0.5802781091566808
43,0.5303472153887524
44,0.47850382241276673
45,0.4249348840678928
46,0.36983357672837813
47,0.3133986026850842
48,0.255833473599867
49,0.19734577661675742
50,0.1381464257764359
51,0.07844890143349738
52,0.018468480419262932
53,-0.04157854027373096
54,-0.10147562348607424
55,-0.16100677275189493
56,-0.21995731120946585
57,-0.2781146557531474
58,-0.3352690836349829
59,-0.3912144887514815
60,-0.4457491248883234
61,-0.49867633324275246
62,-0.5498052516001186
63,-0.5989515026071901
64,-0.6459378586602335
65,-0.6905948810101925
66,-0.7327615307802704
67,-0.7722857496925096
68,-0.8090250084091939
69,-0.8428468205116879
70,-0.8736292202632362
71,-0.9012612024328527
72,-0.9256431225942391
73,-0.9466870564562017
74,-0.9643171169287782
75,-0.9784697277816927
76,-0.9890938529082913
77,-0.9961511803682048
78,-0.9996162605450567
79,-0.9994765979210014
80,-0.9957326961371449
81,-0.9883980561773497
82,-0.9774991276819787
83,-0.963075213567143
84,-0.9451783282934096
85,-0.9238730102950713
86,-0.8992360892463809
87,-0.8713564090040183
88,-0.8403345072248946
89,-0.8062822528146311
90,-0.7693224425141225
91,-0.7295883580789406
92,-0.6872232856484488
93,-0.6423799990378414
94,-0.5952202088164227
95,-0.5459139791588192
96,-0.49463911457203386
97,-0.4415805187098806
98,-0.3869295275869976
99,-0.33088321959695305
100,-0.27364370482260436
101,-0.21541739620154998
102,-0.15641426517494147
103,-0.09684708450388128
104,-0.03693066098390641
105,0.02311893917551396
106,0.0830851695130868
107,0.14275178420965332
108,0.20190361789798902
109,0.2603273615763663
110,0.31781233182781893
111,0.37415123057121996
112,0.4291408926044091
113,0.4825830182436353
114,0.534284888417324
115,0.5840600596354499
116,0.6317290363283685
117,0.6771199181305668
118,0.7200690197751465
119,0.7604214613636209
120,0.7980317268824393
121,0.8327641889521558
122,0.8644935979169321
123,0.8931055335106551
124,0.918496817470903
125,0.9405758856128237
126,0.9592631180211793
127,0.9744911261698403
128,0.9862049959333445
129,0.9943624856141849
130,0.9989341782717204
131,0.9999035878033875
132,0.9972672183956746
133,0.9910345771304667
134,0.9812281397013057
135,0.9678832693631935
136,0.9510480894082158
137,0.9307833096268595
138,0.9071620073808202
139,0.8802693640767841
140,0.8502023579914898
141,0.8170694145557836
142,0.7809900153587884
143,0.7420942672821643
144,0.7005224333182207
145,0.6564244267638064
146,0.6099592706139804
147,0.5612945241049564
148,0.510605678474283
149,0.45807552411722
150,0.4038934914214305
151,0.3482549676570176
152,0.29136059238529005
153,0.2334155339271003
154,0.17462874949990242
155,0.11521223169156894
156,0.055380243988277816
157,-0.004651451886747496
158,-0.06466637403733042
159,-0.1244481010554685
160,-0.18378105246433263
161,-0.24245126612876203
162,-0.30024716982981414
163,-0.35696034422097433
164,-0.412386274414708
165,-0.46632508748903956
166,-0.5185822732546157
167,-0.5689693856830763
168,-0.617304722467292
169,-0.6634139802628899
170,-0.7071308832481832
171,-0.7482977827358364
172,-0.7867662256739923
173,-0.8223974899867739
174,-0.8550630848236533
175,-0.8846452139137285
176,-0.9110372003539896
177,-0.9341438712997391
178,-0.9538819011699191
179,-0.9701801121297076
180,-0.9829797307668023
181,-0.9922346000357877
182,-0.9979113457062836
183,-0.9999894967146472
184,-0.9984615589852194
185,-0.9933330424549106
186,-0.984622441203671
187,-0.9723611667624966
188,-0.9565934348394706
189,-0.9373761058723225
190,-0.9147784799824903
191,-0.8888820470701078
192,-0.8597801929511072
193,-0.8275778625961426
194,-0.7923911816857393
195,-0.7543470378463851
196,-0.7135826230776849
197,-0.670244939020639
198,-0.6244902668511131
199,-0.5764836037101313
200,-0.5263980677032941
201,-0.47441427361497046
202,-0.42071968158851747
203,-0.36550792112126784
204,-0.3089780928120466
205,-0.2513340503792026
206,-0.19278366553828974
207,-0.1335380783903409
208,-0.07381093602393046
209,-0.013817622076722217
210,0.04622551996519866
211,0.1061019669293285
212,0.1655957967667201
213,0.22449246719422997
214,0.282579589361157
215,0.3396476937503228
216,0.3954909855516826
217,0.4499080867844599
218,0.5027027624916443
219,0.5536846283880921
220,0.6026698374103644
221,0.6494817426925152
222,0.6939515345770562
223,0.7359188493639546
224,0.7752323476024406
225,0.8117502598402285
226,0.8453408978621108
227,0.8758831295743366
228,0.9032668158222786
229,0.9273932075661695
230,0.9481753019826424
231,0.9655381562079285
232,0.9794191575913112
233,0.9897682494842734
234,0.9965481117511096
235,0.9997342953500602
236,0.9993153104996522
237,0.9952926681123053
238,0.9876808743457911
239,0.976507378292191
240,0.9618124729929951
241,0.9436491501372924
242,0.9220829089670312
243,0.8971915200784585
244,0.8690647449715042
245,0.8378040123584466
246,0.8035220523991338
247,0.766342490181754
248,0.726399399915115
249,0.6838368214400716
250,0.6388082408036216
251,0.5914760367687873
252,0.5420108952562367
253,0.49059119382924177
254,0.4374023584416007
255,0.3826361947681709
256,0.32649019652932
257,0.26916683330356495
258,0.2108728203966364
259,0.15181837339991294
260,0.0922164501263827
261,0.03228198265780602
262,-0.02776889772758464
263,-0.08771963995183929
264,-0.1473540540478959
265,-0.20645709076797425
266,-0.26481561707839174
267,-0.32221918474427014
268,-0.37846078923250925
269,-0.43333761619635364
270,-0.4866517728495987
271,-0.538211001593036
272,-0.5878293733196981
273,-0.6353279578987597
274,-0.6805354694202445
275,-0.7232888838737035
276,-0.7634340270334381
277,-0.8008261304302785
278,-0.8353303534050129
279,-0.8668222693608779
280,-0.8951883144616204
281,-0.9203261971570693
282,-0.9421452670594178
283,-0.9605668418399992
284,-0.9755244909677258
285,-0.9869642752659957
286,-0.9948449414241931
287,-0.9991380707623488
288,-0.9998281817124997
289,-0.9969127856471813
290,-0.9904023958537356
291,-0.9803204896220635
292,-0.966703423582547
293,-0.9496003025994352
294,-0.9290728026924872
295,-0.9051949486254356
296,-0.8780528469633162
297,-0.8477443755612918
298,-0.8143788306047138
299,-0.7780765324732397
300,-0.7389683918503098
301,-0.697195437642647
302,-0.652908308412164
303,-0.6062667091542346
304,-0.5574388353812613
305,-0.5066007665883601
306,-0.45393583128840775
307,-0.39963394590621254
308,-0.34389092991583975
309,-0.2869077996907951
310,-0.22889004361353044
311,-0.17004688105831864
312,-0.11059050791970014
313,-0.05073533140722013
314,0.009302803134115958
315,0.0693073905894856
316,0.1290620468191058
317,0.1883512889668384
318,0.24696131251865244
319,0.30468076230877245
320,0.36130149469316664
321,0.41661932814188124
322,0.47043477954348983
323,0.5225537835664503
324,0.572788392483262
325,0.6209574539337677
326,0.6668872641835007
327,0.7104121945213452
328,0.7513752885376386
329,0.7896288281288583
330,0.8250348661878059
331,0.8574657240583419
332,0.8868044519607854
333,0.9129452507276277
334,0.935793853328725
335,0.9552678648101457
336,0.9712970594208058
337,0.9838236338554194
338,0.992802415700536
339,0.9982010263319827
340,0.9999999976762833
341,0.9981928424149952
342,0.9927860773788016
343,0.9837992000469952
344,0.9712646182370986
345,0.9552275332381714
346,0.9357457768092388
